Loaded problem from /home/jordan/antoine/cuADMM/examples/pendulum/TXT/N=80_licols/
              vector length: 131945
      number of constraints: 112028
           number of blocks: 239
  number of non-zeros in At: 278569
   number of non-zeros in b: 1
   number of non-zeros in C: 646

Analysis of the blk vector:
      159 matrices of size  10 (small)
       80 matrices of size  55 (large)

Analysis of the large matrices sizes:
    size of large matrices:  55 
  number of large matrices:  80 
    total size of large matrices: 242000
  sum of sizes of large matrices: 4400
    nb large (with multiplicity): 80
  large matrices start indices: 0 242000 

Analysis of the small matrices sizes:
    size of small matrices:  10 
  number of small matrices: 159 
    total size of small matrices: 15900
  sum of sizes of small matrices: 1590
    nb small (with multiplicity): 159
  small matrices start indices: 0 15900 

 -------------------------------------------------------------------------------
                                    cuADMM
 -------------------------------------------------------------------------------
 norm of C = 1.2e+00, norm of b = 2.0e+00

  it. | p infeas d infeas | primal obj.   dual obj. rel. gap |  time |   sigma | 
 -------------------------------------------------------------------------------
    0 | 5.00e-01 1.78e-01 |  0.0000e+00  0.0000e+00 0.00e+00 |   0.2 | 1.0e+00 |
   50 | 3.85e-02 1.79e+00 |  1.8567e+00 -8.3346e+01 9.88e-01 |   1.4 | 1.1e+00 |
  100 | 2.96e-03 1.66e-01 |  2.3145e+00 -6.1871e-01 7.46e-01 |   2.7 | 1.1e+00 |
  150 | 2.28e-04 4.92e-02 |  2.5351e+00  4.0108e+00 1.96e-01 |   4.0 | 1.1e+00 |
  200 | 1.75e-05 2.37e-02 |  2.6197e+00  3.4661e+00 1.19e-01 |   5.3 | 1.1e+00 |
  300 | 1.04e-07 1.06e-02 |  2.6107e+00  2.5499e+00 9.86e-03 |   7.9 | 1.2e+00 |
  400 | 6.14e-10 8.84e-03 |  2.5723e+00  2.3819e+00 3.20e-02 |  10.4 | 1.2e+00 |
  500 | 3.71e-12 7.34e-03 |  2.5296e+00  2.3183e+00 3.61e-02 |  13.0 | 1.3e+00 |
  600 | 9.33e-13 6.11e-03 |  2.4905e+00  2.3372e+00 2.63e-02 |  15.5 | 1.3e+00 |
  700 | 9.74e-13 4.79e-03 |  2.4617e+00  2.3813e+00 1.38e-02 |  18.1 | 1.4e+00 |
  800 | 1.06e-12 3.77e-03 |  2.4446e+00  2.4297e+00 2.52e-03 |  20.7 | 1.5e+00 |
  900 | 1.08e-12 3.40e-03 |  2.4374e+00  2.4598e+00 3.81e-03 |  23.2 | 1.6e+00 |
 1000 | 1.09e-12 3.11e-03 |  2.4353e+00  2.4589e+00 3.99e-03 |  25.8 | 1.6e+00 |
 1100 | 1.16e-12 2.79e-03 |  2.4321e+00  2.4409e+00 1.50e-03 |  28.3 | 1.7e+00 |
 1200 | 1.23e-12 2.61e-03 |  2.4272e+00  2.4265e+00 1.31e-04 |  30.9 | 1.8e+00 |
 1300 | 1.30e-12 2.42e-03 |  2.4204e+00  2.4178e+00 4.37e-04 |  33.4 | 1.9e+00 |
 1400 | 1.29e-12 2.20e-03 |  2.4133e+00  2.4143e+00 1.83e-04 |  36.0 | 2.0e+00 |
