Loaded problem from /home/jordan/antoine/cuADMM/examples/plato/TXT/bqp-r1-40-1/
              vector length: 371091
      number of constraints: 269001
           number of blocks: 1
  number of non-zeros in At: 538001
   number of non-zeros in b: 1
   number of non-zeros in C: 860

Analysis of the blk vector:
        1 matrices of size 861 (large)

Analysis of the large matrices sizes:
    size of large matrices: 861 
  number of large matrices:   1 
    total size of large matrices: 741321
  sum of sizes of large matrices: 861
    nb large (with multiplicity): 1
  large matrices start indices: 0 741321 

Analysis of the small matrices sizes:
    size of small matrices: 
  number of small matrices: 
    total size of small matrices: 0
  sum of sizes of small matrices: 0
    nb small (with multiplicity): 0
  small matrices start indices: 0 

 -------------------------------------------------------------------------------
                                    cuADMM
 -------------------------------------------------------------------------------
 norm of C = 3.0e+01, norm of b = 2.0e+00

  it. | p infeas d infeas | primal obj.   dual obj. rel. gap |  time |   sigma | 
 -------------------------------------------------------------------------------
    0 | 5.00e-01 9.66e-01 |  0.0000e+00  0.0000e+00 0.00e+00 |   0.7 | 1.0e+00 |
   50 | 3.85e-02 1.93e+00 | -7.1396e+01 -2.8893e+03 9.51e-01 |   4.0 | 1.1e+00 |
  100 | 2.96e-03 1.67e-01 | -1.1830e+02 -2.6485e+02 3.81e-01 |   7.5 | 1.1e+00 |
  150 | 2.28e-04 5.84e-02 | -1.4609e+02 -9.6120e+01 2.05e-01 |  10.4 | 1.1e+00 |
  200 | 1.75e-05 4.65e-02 | -1.6300e+02 -1.0508e+02 2.15e-01 |  13.0 | 1.1e+00 |
  300 | 1.04e-07 3.42e-02 | -1.8399e+02 -1.3396e+02 1.57e-01 |  20.3 | 1.2e+00 |
  400 | 6.14e-10 2.72e-02 | -1.9704e+02 -1.5315e+02 1.25e-01 |  27.4 | 1.2e+00 |
  500 | 3.63e-12 2.22e-02 | -2.0597e+02 -1.6828e+02 1.00e-01 |  34.5 | 1.3e+00 |
  600 | 2.84e-14 1.84e-02 | -2.1228e+02 -1.8029e+02 8.13e-02 |  41.4 | 1.3e+00 |
  700 | 2.48e-14 1.55e-02 | -2.1690e+02 -1.8958e+02 6.70e-02 |  48.2 | 1.4e+00 |
  800 | 3.45e-14 1.33e-02 | -2.2040e+02 -1.9668e+02 5.67e-02 |  55.1 | 1.5e+00 |
  900 | 2.98e-14 1.16e-02 | -2.2314e+02 -2.0228e+02 4.89e-02 |  60.8 | 1.6e+00 |
 1000 | 2.89e-14 1.02e-02 | -2.2536e+02 -2.0668e+02 4.32e-02 |  68.0 | 1.6e+00 |
 1100 | 3.03e-14 9.20e-03 | -2.2722e+02 -2.1016e+02 3.89e-02 |  75.3 | 1.7e+00 |
 1200 | 3.20e-14 8.36e-03 | -2.2881e+02 -2.1298e+02 3.58e-02 |  82.1 | 1.8e+00 |
 1300 | 3.14e-14 7.67e-03 | -2.3021e+02 -2.1532e+02 3.33e-02 |  89.2 | 1.9e+00 |
 1400 | 3.49e-14 7.10e-03 | -2.3145e+02 -2.1733e+02 3.14e-02 |  95.7 | 2.0e+00 |
 1500 | 5.08e-14 6.61e-03 | -2.3257e+02 -2.1906e+02 2.98e-02 | 102.4 | 2.1e+00 |
 1600 | 4.39e-14 6.20e-03 | -2.3360e+02 -2.2058e+02 2.86e-02 | 107.9 | 2.2e+00 |
 1700 | 4.20e-14 5.84e-03 | -2.3456e+02 -2.2191e+02 2.77e-02 | 114.6 | 2.3e+00 |
 1800 | 4.24e-14 5.53e-03 | -2.3546e+02 -2.2310e+02 2.69e-02 | 122.0 | 2.4e+00 |
 1900 | 4.34e-14 5.26e-03 | -2.3631e+02 -2.2416e+02 2.63e-02 | 129.3 | 2.5e+00 |
 2000 | 6.29e-14 5.03e-03 | -2.3712e+02 -2.2512e+02 2.59e-02 | 135.8 | 2.7e+00 |
 2100 | 5.38e-14 4.83e-03 | -2.3790e+02 -2.2599e+02 2.56e-02 | 142.6 | 2.8e+00 |
 2200 | 5.45e-14 4.64e-03 | -2.3866e+02 -2.2678e+02 2.55e-02 | 149.6 | 2.9e+00 |
 2300 | 5.07e-14 4.48e-03 | -2.3940e+02 -2.2751e+02 2.54e-02 | 154.4 | 3.1e+00 |
 2400 | 7.83e-14 4.33e-03 | -2.4012e+02 -2.2820e+02 2.54e-02 | 161.7 | 3.2e+00 |
 2500 | 7.73e-14 4.20e-03 | -2.4083e+02 -2.2884e+02 2.55e-02 | 168.5 | 3.4e+00 |
 2600 | 5.68e-14 4.07e-03 | -2.4153e+02 -2.2945e+02 2.56e-02 | 175.5 | 3.6e+00 |
 2700 | 5.80e-14 3.96e-03 | -2.4223e+02 -2.3003e+02 2.58e-02 | 182.9 | 3.7e+00 |
 2800 | 6.96e-14 3.85e-03 | -2.4292e+02 -2.3059e+02 2.60e-02 | 189.6 | 3.9e+00 |
 2900 | 7.21e-14 3.75e-03 | -2.4360e+02 -2.3114e+02 2.62e-02 | 196.2 | 4.1e+00 |
 3000 | 1.15e-13 3.65e-03 | -2.4428e+02 -2.3167e+02 2.64e-02 | 201.4 | 4.3e+00 |
 3100 | 8.00e-14 3.56e-03 | -2.4496e+02 -2.3220e+02 2.67e-02 | 208.7 | 4.5e+00 |
 3200 | 1.43e-13 3.47e-03 | -2.4565e+02 -2.3271e+02 2.70e-02 | 215.9 | 4.8e+00 |
 3300 | 9.14e-14 3.39e-03 | -2.4633e+02 -2.3323e+02 2.72e-02 | 222.8 | 5.0e+00 |
 3400 | 8.65e-14 3.31e-03 | -2.4701e+02 -2.3375e+02 2.75e-02 | 230.1 | 5.3e+00 |
 3500 | 8.71e-14 3.24e-03 | -2.4769e+02 -2.3427e+02 2.78e-02 | 237.1 | 5.5e+00 |
 3600 | 1.82e-13 3.17e-03 | -2.4838e+02 -2.3478e+02 2.81e-02 | 243.6 | 5.8e+00 |
 3700 | 1.01e-13 3.11e-03 | -2.4907e+02 -2.3528e+02 2.84e-02 | 248.6 | 6.1e+00 |
 3800 | 1.29e-13 3.05e-03 | -2.4977e+02 -2.3577e+02 2.88e-02 | 255.8 | 6.4e+00 |
 3900 | 2.42e-13 2.99e-03 | -2.5047e+02 -2.3625e+02 2.92e-02 | 263.1 | 6.7e+00 |
 4000 | 1.33e-13 2.93e-03 | -2.5119e+02 -2.3673e+02 2.96e-02 | 269.9 | 7.0e+00 |
 4100 | 2.05e-13 2.88e-03 | -2.5191e+02 -2.3721e+02 3.00e-02 | 277.2 | 7.4e+00 |
 4200 | 1.22e-13 2.82e-03 | -2.5263e+02 -2.3771e+02 3.04e-02 | 284.2 | 7.8e+00 |
 4300 | 1.37e-13 2.77e-03 | -2.5337e+02 -2.3823e+02 3.07e-02 | 290.7 | 8.1e+00 |
 4400 | 1.38e-13 2.73e-03 | -2.5412e+02 -2.3874e+02 3.11e-02 | 296.0 | 8.6e+00 |
 4500 | 1.63e-13 2.69e-03 | -2.5488e+02 -2.3921e+02 3.16e-02 | 303.5 | 9.0e+00 |
 4600 | 1.70e-13 2.65e-03 | -2.5565e+02 -2.3967e+02 3.22e-02 | 310.7 | 9.4e+00 |
 4700 | 1.65e-13 2.61e-03 | -2.5644e+02 -2.4011e+02 3.28e-02 | 317.7 | 9.9e+00 |
 4800 | 1.64e-13 2.58e-03 | -2.5725e+02 -2.4057e+02 3.34e-02 | 324.7 | 1.0e+01 |
 4900 | 3.65e-13 2.54e-03 | -2.5808e+02 -2.4103e+02 3.41e-02 | 331.7 | 1.1e+01 |
 5000 | 3.60e-13 2.51e-03 | -2.5892e+02 -2.4149e+02 3.48e-02 | 338.2 | 1.1e+01 |
 5100 | 3.91e-13 2.48e-03 | -2.5978e+02 -2.4198e+02 3.54e-02 | 343.5 | 1.2e+01 |
 5200 | 2.91e-13 2.43e-03 | -2.6066e+02 -2.4256e+02 3.59e-02 | 351.0 | 1.3e+01 |
