Loaded problem from /home/jordan/antoine/cuADMM/examples/plato/TXT/swissroll/
              vector length: 320400
      number of constraints: 3380
           number of blocks: 1
  number of non-zeros in At: 330537
   number of non-zeros in b: 3379
   number of non-zeros in C: 800

Analysis of the blk vector:
        1 matrices of size 800 (large)

Analysis of the large matrices sizes:
    size of large matrices: 800 
  number of large matrices:   1 
    total size of large matrices: 640000
  sum of sizes of large matrices: 800
    nb large (with multiplicity): 1
  large matrices start indices: 0 640000 

Analysis of the small matrices sizes:
    size of small matrices: 
  number of small matrices: 
    total size of small matrices: 0
  sum of sizes of small matrices: 0
    nb small (with multiplicity): 0
  small matrices start indices: 0 

 -------------------------------------------------------------------------------
                                    cuADMM
 -------------------------------------------------------------------------------
 norm of C = 2.9e+01, norm of b = 3.8e+02

  it. | p infeas d infeas | primal obj.   dual obj. rel. gap |  time |   sigma | 
 -------------------------------------------------------------------------------
    0 | 9.97e-01 9.66e-01 |  0.0000e+00  0.0000e+00 0.00e+00 |   0.2 | 1.0e+00 |
   50 | 7.67e-02 1.71e-01 | -2.1672e+04 -8.5911e+03 4.32e-01 |   1.2 | 9.5e-01 |
  100 | 5.90e-03 1.26e-01 | -3.0735e+04 -1.2682e+04 4.16e-01 |   2.2 | 9.5e-01 |
  150 | 4.54e-04 1.10e-01 | -3.7717e+04 -1.6263e+04 3.97e-01 |   3.3 | 1.0e+00 |
  200 | 3.50e-05 1.01e-01 | -4.3160e+04 -1.9201e+04 3.84e-01 |   4.3 | 1.0e+00 |
  300 | 2.07e-07 9.07e-02 | -5.2683e+04 -2.3252e+04 3.88e-01 |   6.3 | 1.1e+00 |
  400 | 1.23e-09 8.30e-02 | -6.1273e+04 -2.7029e+04 3.88e-01 |   8.3 | 1.1e+00 |
  500 | 3.12e-11 7.83e-02 | -6.9066e+04 -3.0155e+04 3.92e-01 |  10.3 | 1.2e+00 |
  600 | 3.13e-11 7.45e-02 | -7.6538e+04 -3.3321e+04 3.93e-01 |  12.3 | 1.2e+00 |
  700 | 3.29e-11 7.08e-02 | -8.3724e+04 -3.6101e+04 3.97e-01 |  14.4 | 1.3e+00 |
  800 | 3.50e-11 6.76e-02 | -9.0937e+04 -3.9354e+04 3.96e-01 |  16.4 | 1.3e+00 |
  900 | 3.64e-11 6.43e-02 | -9.7969e+04 -4.2980e+04 3.90e-01 |  18.4 | 1.4e+00 |
 1000 | 3.84e-11 6.15e-02 | -1.0476e+05 -4.7016e+04 3.80e-01 |  20.4 | 1.5e+00 |
 1100 | 4.03e-11 6.02e-02 | -1.1078e+05 -5.0496e+04 3.74e-01 |  22.5 | 1.6e+00 |
 1200 | 4.20e-11 5.86e-02 | -1.1641e+05 -5.2955e+04 3.75e-01 |  24.5 | 1.6e+00 |
 1300 | 4.51e-11 5.63e-02 | -1.2235e+05 -5.5164e+04 3.78e-01 |  26.5 | 1.7e+00 |
 1400 | 4.61e-11 5.42e-02 | -1.2880e+05 -5.7974e+04 3.79e-01 |  28.5 | 1.8e+00 |
 1500 | 5.13e-11 5.30e-02 | -1.3501e+05 -6.1106e+04 3.77e-01 |  30.5 | 1.9e+00 |
 1600 | 5.19e-11 5.20e-02 | -1.4087e+05 -6.3874e+04 3.76e-01 |  32.6 | 2.0e+00 |
 1700 | 5.35e-11 5.08e-02 | -1.4664e+05 -6.6394e+04 3.77e-01 |  34.6 | 2.1e+00 |
 1800 | 5.69e-11 4.97e-02 | -1.5248e+05 -6.8908e+04 3.77e-01 |  36.6 | 2.2e+00 |
 1900 | 6.18e-11 4.85e-02 | -1.5833e+05 -7.1405e+04 3.78e-01 |  38.7 | 2.3e+00 |
 2000 | 6.16e-11 4.72e-02 | -1.6446e+05 -7.3897e+04 3.80e-01 |  40.7 | 2.4e+00 |
 2100 | 6.64e-11 4.63e-02 | -1.7070e+05 -7.6648e+04 3.80e-01 |  42.7 | 2.5e+00 |
 2200 | 6.86e-11 4.51e-02 | -1.7713e+05 -7.9494e+04 3.80e-01 |  44.7 | 2.7e+00 |
 2300 | 7.16e-11 4.45e-02 | -1.8353e+05 -8.2564e+04 3.79e-01 |  46.8 | 2.8e+00 |
 2400 | 7.86e-11 4.40e-02 | -1.8960e+05 -8.5349e+04 3.79e-01 |  48.8 | 2.9e+00 |
 2500 | 7.98e-11 4.36e-02 | -1.9547e+05 -8.7711e+04 3.81e-01 |  50.8 | 3.1e+00 |
 2600 | 8.50e-11 4.31e-02 | -2.0132e+05 -8.9671e+04 3.84e-01 |  52.8 | 3.2e+00 |
 2700 | 8.70e-11 4.22e-02 | -2.0763e+05 -9.1456e+04 3.88e-01 |  54.9 | 3.4e+00 |
 2800 | 9.20e-11 4.17e-02 | -2.1438e+05 -9.3376e+04 3.93e-01 |  56.9 | 3.6e+00 |
 2900 | 9.60e-11 4.12e-02 | -2.2119e+05 -9.5106e+04 3.99e-01 |  58.9 | 3.7e+00 |
 3000 | 1.00e-10 4.08e-02 | -2.2813e+05 -9.6612e+04 4.05e-01 |  60.9 | 3.9e+00 |
 3100 | 1.07e-10 4.04e-02 | -2.3530e+05 -9.7952e+04 4.12e-01 |  62.9 | 4.1e+00 |
 3200 | 1.08e-10 4.00e-02 | -2.4277e+05 -9.9205e+04 4.20e-01 |  64.9 | 4.3e+00 |
